Dates,pH,Conductivity,TDS,TSS,COD,NH3-N,NO3-N,FOG,Calcium Hardness,Magnesium Hardness,PO4-PO4,Chloride,Total Alkalinity
08-01-2010,7.33,1244.0,873.0,1.0,9.0,0.0,13.1,0.0,84.0,84.0,5.5,312.8,100.0
08-02-2010,7.52,1200.0,840.0,1.0,5.0,0.0,12.6,0.0,84.0,68.0,6.0,291.4,100.0
08-03-2010,7.65,1061.0,810.0,1.0,7.0,0.0,12.9,0.0,76.0,72.0,6.2,823.9,96.0
08-04-2010,7.44,1211.0,848.0,1.0,7.0,0.0,12.9,0.0,88.0,80.0,5.8,270.0,108.0
08-05-2010,7.58,1040.0,724.0,1.0,4.35,0.0,11.7,0.0,88.0,80.0,4.9,270.0,108.0
08-06-2010,7.62,1100.0,766.0,1.0,6.28,0.0,7.6,0.0,88.0,84.0,5.0,271.9,100.0
08-07-2010,7.23,1155.0,797.0,1.0,13.0,0.0,7.2,0.0,60.0,72.0,4.7,282.0,112.0
08-08-2010,7.68,1165.0,816.0,1.0,4.87,0.0,6.1,0.0,80.0,76.0,5.1,281.9,124.0
08-09-2010,7.51,1198.0,838.0,1.0,7.0,0.0,6.7,0.0,84.0,76.0,5.2,283.9,132.0
08-10-2010,7.36,1194.0,830.0,1.0,5.56,0.0,5.8,0.0,72.0,80.0,5.5,285.9,116.0
08-11-2010,7.5,1220.0,850.0,1.0,6.11,0.0,4.4,0.0,64.0,76.0,4.5,301.7,144.0
08-12-2010,7.5,1206.0,844.0,0.0,6.29,0.0,4.4,0.0,52.0,72.0,4.4,289.0,120.0
09-01-2010,8.11,1112.0,780.0,1.0,5.3,0.0,8.4,0.0,48.0,84.0,5.4,260.0,136.0
09-02-2010,8.28,1120.0,784.0,1.0,6.6,0.0,7.9,0.0,76.0,64.0,5.6,270.0,148.0
09-03-2010,7.65,1090.0,764.0,1.0,4.7,0.0,8.0,0.0,76.0,68.0,5.5,276.0,148.0
09-04-2010,7.56,1020.0,774.0,1.0,8.4,0.0,6.2,0.0,72.0,64.0,5.4,270.0,160.0
09-05-2010,7.9,1124.0,790.0,1.0,5.6,0.0,6.9,0.0,76.0,64.0,6.9,260.0,140.0
09-06-2010,7.98,1132.0,791.0,1.0,7.1,0.0,7.3,0.0,80.0,68.0,5.5,270.0,144.0
09-07-2010,7.6,991.0,690.0,1.0,7.2,0.0,9.2,0.0,80.0,68.0,5.5,250.0,140.0
09-08-2010,7.91,1120.0,782.0,0.0,5.8,0.0,10.5,0.0,76.0,48.0,5.4,208.0,252.0
09-09-2010,7.8,1104.0,769.0,1.0,4.6,0.0,9.0,0.0,72.0,76.0,5.9,260.0,140.0
09-10-2010,7.64,1090.0,760.0,0.0,5.4,0.0,9.7,0.0,68.0,68.0,5.7,254.0,120.0
09-11-2010,7.74,1100.0,770.0,1.0,7.1,0.0,5.6,0.0,56.0,64.0,8.7,262.0,1320.0
