Dates,pH,Conductivity,TDS,TSS,COD,NH3-N,NO3-N,FOG,Calcium Hardness,Magnesium Hardness,PO4-PO4,Chloride,Total Alkalinity
2010-08-01,7.33,1244.0,873.0,1.0,9.0,0.0,13.1,0.0,84.0,84.0,5.5,312.8,100.0
2010-08-02,7.52,1200.0,840.0,1.0,5.0,0.0,12.6,0.0,84.0,68.0,6.0,291.4,100.0
2010-08-03,7.65,1061.0,810.0,1.0,7.0,0.0,12.9,0.0,76.0,72.0,6.2,823.9,96.0
2010-08-04,7.44,1211.0,848.0,1.0,7.0,0.0,12.9,0.0,88.0,80.0,5.8,270.0,108.0
2010-08-05,7.58,1040.0,724.0,1.0,4.35,0.0,11.7,0.0,88.0,80.0,4.9,270.0,108.0
2010-08-06,7.62,1100.0,766.0,1.0,6.28,0.0,7.6,0.0,88.0,84.0,5.0,271.9,100.0
2010-08-07,7.23,1155.0,797.0,1.0,13.0,0.0,7.2,0.0,60.0,72.0,4.7,282.0,112.0
2010-08-08,7.68,1165.0,816.0,1.0,4.87,0.0,6.1,0.0,80.0,76.0,5.1,281.9,124.0
2010-08-09,7.51,1198.0,838.0,1.0,7.0,0.0,6.7,0.0,84.0,76.0,5.2,283.9,132.0
2010-08-10,7.36,1194.0,830.0,1.0,5.56,0.0,5.8,0.0,72.0,80.0,5.5,285.9,116.0
2010-08-11,7.5,1220.0,850.0,1.0,6.11,0.0,4.4,0.0,64.0,76.0,4.5,301.7,144.0
2010-08-12,7.5,1206.0,844.0,0.0,6.29,0.0,4.4,0.0,52.0,72.0,4.4,289.0,120.0
2010-09-01,8.11,1112.0,780.0,1.0,5.3,0.0,8.4,0.0,48.0,84.0,5.4,260.0,136.0
2010-09-02,8.28,1120.0,784.0,1.0,6.6,0.0,7.9,0.0,76.0,64.0,5.6,270.0,148.0
2010-09-03,7.65,1090.0,764.0,1.0,4.7,0.0,8.0,0.0,76.0,68.0,5.5,276.0,148.0
2010-09-04,7.56,1020.0,774.0,1.0,8.4,0.0,6.2,0.0,72.0,64.0,5.4,270.0,160.0
2010-09-05,7.9,1124.0,790.0,1.0,5.6,0.0,6.9,0.0,76.0,64.0,6.9,260.0,140.0
2010-09-06,7.98,1132.0,791.0,1.0,7.1,0.0,7.3,0.0,80.0,68.0,5.5,270.0,144.0
2010-09-07,7.6,991.0,690.0,1.0,7.2,0.0,9.2,0.0,80.0,68.0,5.5,250.0,140.0
2010-09-08,7.91,1120.0,782.0,0.0,5.8,0.0,10.5,0.0,76.0,48.0,5.4,208.0,252.0
2010-09-09,7.8,1104.0,769.0,1.0,4.6,0.0,9.0,0.0,72.0,76.0,5.9,260.0,140.0
2010-09-10,7.64,1090.0,760.0,0.0,5.4,0.0,9.7,0.0,68.0,68.0,5.7,254.0,120.0
2010-09-11,7.74,1100.0,770.0,1.0,7.1,0.0,5.6,0.0,56.0,64.0,8.7,262.0,1320.0
2010-09-12,7.73,1168.0,814.0,0.0,7.0,0.0,8.1,0.0,72.0,60.0,4.9,272.0,144.0
2010-09-13,7.65,1105.0,766.0,0.0,6.4,0.0,9.3,0.0,68.0,68.0,5.8,256.0,124.0
2010-09-14,7.92,1096.0,761.0,1.0,6.5,0.0,7.7,0.0,56.0,84.0,5.5,252.0,136.0
2010-09-15,7.92,1082.0,744.0,1.0,5.1,0.0,6.9,0.0,56.0,72.0,5.9,256.0,144.0
2010-09-16,7.96,1086.0,759.0,1.0,6.6,0.0,8.8,0.0,88.0,52.0,5.7,247.0,136.0
2010-09-17,7.62,1542.0,1091.0,1.0,7.1,0.0,9.5,0.0,52.0,132.0,5.0,395.0,100.0
2010-09-18,7.92,1093.0,761.0,1.0,7.7,0.0,9.0,0.0,88.0,40.0,5.8,260.0,132.0
2010-09-19,7.43,1061.0,741.0,1.0,7.2,0.0,8.2,0.0,64.0,56.0,5.7,272.0,128.0
2010-09-20,7.81,1110.0,776.0,0.0,5.0,0.0,8.3,0.0,60.0,88.0,5.3,283.0,128.0
2010-09-21,8.2,1076.0,751.0,1.0,7.0,0.0,8.8,0.0,52.0,68.0,5.6,258.0,124.0
2010-09-22,8.11,1140.0,792.0,1.0,6.0,0.0,8.8,0.0,52.0,80.0,5.6,262.0,120.0
2010-09-23,8.22,1097.0,757.0,1.0,8.0,0.0,8.1,0.0,52.0,84.0,5.3,272.0,104.0
2010-09-24,7.94,1093.0,757.0,2.0,8.0,0.0,8.2,0.0,60.0,76.0,5.1,268.0,128.0
2010-09-25,8.03,1055.0,723.0,1.0,5.0,0.0,9.2,0.0,56.0,84.0,5.0,280.0,124.0
2010-09-26,8.08,982.0,668.0,0.0,7.0,0.0,9.1,0.0,60.0,84.0,5.3,274.0,140.0
2010-09-27,8.12,1112.0,739.0,1.0,15.0,0.0,9.2,0.0,48.0,84.0,5.2,274.0,140.0
2010-09-28,7.84,1091.0,738.0,1.0,9.0,0.0,9.0,0.0,52.0,68.0,5.4,290.0,132.0
2010-09-29,8.15,1129.0,751.0,1.0,7.0,0.0,9.2,0.0,56.0,88.0,5.3,286.0,136.0
2010-09-30,7.94,1175.0,809.0,1.0,9.0,0.0,9.1,0.0,80.0,72.0,5.5,319.0,96.0
2010-10-01,8.3,1112.0,759.0,2.0,6.0,0.0,9.3,0.0,60.0,84.0,5.8,288.0,104.0
2010-10-02,8.05,1262.0,872.0,0.0,7.0,0.0,9.0,0.0,72.0,80.0,5.2,295.0,96.0
2010-10-03,7.97,1311.0,912.0,1.0,5.0,0.0,8.7,0.0,60.0,76.0,5.4,319.0,92.0
2010-10-04,8.25,1077.0,739.0,1.0,6.0,0.0,8.6,0.0,80.0,128.0,5.4,311.0,96.0
